sep=,
"Plate name","Plate ID","Plate type","Well","Sample/NTC/Control","Type","Reaction Mix","Target (Name)","Target (IC)","Target (Control)","Conc. [cp/µL] (dPCR reaction)","Conc. [-] (dPCR reaction)","CI (95%) (dPCR reaction)","Conc. [cp/µL] (undiluted sample)","Conc. [-] (undiluted sample)","Partitions (Valid)","Partitions (Positive)","Partitions (Negative)","Threshold","Volume per well [µl]","Concentration factor","Template volume [µl]","Total volume [µl]","Conversion factor","Conversion unit"
"","","","D6","T7","Sample","16s 18s","16s","-","-","22816.8","-","12.3%","-","-","8275","8267","8","32.51","2.589","-","-","-","-","-"
"","","","D6","T7","Sample","16s 18s","18s","-","-","290.5","-","7.4%","-","-","8275","700","7575","59.93","2.589","-","-","-","-","-"
"","","","D7","T1","Sample","16s 18s","16s","-","-","0","-","-","-","-","8280","0","8280","123.93","2.549","-","-","-","-","-"
"","","","D7","T1","Sample","16s 18s","18s","-","-","63.09","-","15.7%","-","-","8280","155","8125","68.21","2.549","-","-","-","-","-"
"","","","D8","T1","Sample","16s 18s","16s","-","-","0","-","-","-","-","8270","0","8270","120.11","2.57","-","-","-","-","-"
"","","","D8","T1","Sample","16s 18s","18s","-","-","65.10","-","15.4%","-","-","8270","161","8109","66.94","2.57","-","-","-","-","-"
"","","","D9","T2","Sample","16s 18s","16s","-","-","22795.6","-","12.3%","-","-","8266","8258","8","37.61","2.591","-","-","-","-","-"
"","","","D9","T2","Sample","16s 18s","18s","-","-","360.2","-","6.9%","-","-","7856","816","7040","58.01","2.591","-","-","-","-","-"
"","","","D10","T2","Sample","16s 18s","16s","-","-","0","-","-","-","-","8274","0","8274","126.48","2.619","-","-","-","-","-"
"","","","D10","T2","Sample","16s 18s","18s","-","-","541.8","-","5.5%","-","-","8262","1269","6993","66.94","2.619","-","-","-","-","-"
"","","","D11","T3","Sample","16s 18s","16s","-","-","0","-","-","-","-","8060","0","8060","127.76","2.643","-","-","-","-","-"
"","","","D11","T3","Sample","16s 18s","18s","-","-","2099.5","-","3.2%","-","-","8060","3861","4199","58.01","2.643","-","-","-","-","-"
"","","","D12","T3","Sample","16s 18s","16s","-","-","0","-","-","-","-","8288","0","8288","121.38","2.71","-","-","-","-","-"
"","","","D12","T3","Sample","16s 18s","18s","-","-","2251.0","-","3.1%","-","-","8075","4132","3943","68.21","2.71","-","-","-","-","-"
"","","","E1","T4","Sample","16s 18s","16s","-","-","4129.6","-","3.0%","-","-","6702","4887","1815","45.26","2.692","-","-","-","-","-"
"","","","E1","T4","Sample","16s 18s","18s","-","-","6881.7","-","3.2%","-","-","6235","5528","707","63.11","2.692","-","-","-","-","-"
